disease	drug	proximity	pval
Arthritis, Gouty	cabergoline	2.8	0.999999990225096
Arthritis, Gouty	cabozantinib	2	0.488987956305361
Arthritis, Gouty	caffeine	2.3125	0.377627391978289
Arthritis, Gouty	calcifediol	2	0.539827837277029
Arthritis, Gouty	calcipotriol	2	0.477056880824563
Arthritis, Gouty	calcitriol	2.5	0.990245542761719
Arthritis, Gouty	calcium	2.21052631578947	0.497778324842859
Arthritis, Gouty	calcium carbimide	2	0.115599436420819
Arthritis, Gouty	calcium chloride	2	0.363244662055771
Arthritis, Gouty	calcium citrate	2.25806451612903	0.840326651618181
Arthritis, Gouty	calcium levulinate	2	0.30132900635574
Arthritis, Gouty	calcium phosphate	2.25806451612903	0.857718757339965
Arthritis, Gouty	calcium phosphate dihydrate	2.25806451612903	0.828567679019729
Arthritis, Gouty	camphor	2.25	0.151645715899742
Arthritis, Gouty	canakinumab	2	0.314940478733754
Arthritis, Gouty	candesartan cilexetil	2	0.391289447022351
Arthritis, Gouty	cangrelor	3	0.624806496014295
Arthritis, Gouty	cannabidiol	2.44736842105263	0.951309991503191
Arthritis, Gouty	cantharidin	2	0.460172162722971
Arthritis, Gouty	capecitabine	2	0.400760483613276
Arthritis, Gouty	caplacizumab	2	0.370481803776737
Arthritis, Gouty	capromab pendetide	3	0.840128812753863
Arthritis, Gouty	capsaicin	2	0.345509460985262
Arthritis, Gouty	capsicum oleoresin	2	0.320545910980988
Arthritis, Gouty	captopril	2.2	0.508562017503033
Arthritis, Gouty	carbamazepine	2.77777777777778	0.993240118850835
Arthritis, Gouty	carbamoylcholine	3.16666666666667	0.999960556482629
Arthritis, Gouty	carbetocin	2	0.252411540378021
Arthritis, Gouty	carbidopa	2	0.184060125346759
Arthritis, Gouty	carbimazole	3	0.754537219266652
Arthritis, Gouty	carbinoxamine	2	0.203428523821845
Arthritis, Gouty	carbocisteine	2	0.446420795369289
Arthritis, Gouty	carbon monoxide	2	0.159512718462915
Arthritis, Gouty	carboprost tromethamine	3	0.844968589428058
Arthritis, Gouty	carboxin	2	0.532482826449721
Arthritis, Gouty	carboxymethylcellulose	2	0.363244662055771
Arthritis, Gouty	carfilzomib	2	0.375324702277597
Arthritis, Gouty	carglumic acid	2	0.406651710300601
Arthritis, Gouty	cariprazine	2.66666666666667	0.99673849886025
Arthritis, Gouty	carisoprodol	2.6	0.762680499523352
Arthritis, Gouty	carmustine	2	0.446420795369289
Arthritis, Gouty	carprofen	2.5	0.871736349489669
Arthritis, Gouty	carteolol	2.5	0.989544406978962
Arthritis, Gouty	carvedilol	2.55555555555556	0.999991093287881
Arthritis, Gouty	castor oil	2.5	0.740741503477439
Arthritis, Gouty	catridecacog	3	0.802968200025648
Arthritis, Gouty	catumaxomab	1.57142857142857	3.77613355206924e-07
Arthritis, Gouty	cefazolin	2.66666666666667	0.87583453203233
Arthritis, Gouty	cefdinir	3	0.898123230201775
Arthritis, Gouty	cefotaxime	3.33333333333333	0.999942378735839
Arthritis, Gouty	ceftriaxone	3.33333333333333	0.984539405473102
Arthritis, Gouty	celecoxib	2.25	0.539827837277029
Arthritis, Gouty	celiprolol	2.66666666666667	0.973378714233968
Arthritis, Gouty	cemiplimab	3	0.893318648385445
Arthritis, Gouty	cenegermin	2	0.539827837277029
Arthritis, Gouty	ceritinib	2	0.477056880824563
Arthritis, Gouty	cerivastatin	2	0.359024167473425
Arthritis, Gouty	cerliponase alfa	2	0.433219431788052
Arthritis, Gouty	certolizumab pegol	2	0.569452950120241
Arthritis, Gouty	ceruletide	3	0.840487281537085
Arthritis, Gouty	cetirizine	2	0.242497250706788
Arthritis, Gouty	cetrorelix	3	0.949373394281289
Arthritis, Gouty	cetuximab	1.45454545454545	1.64342919176051e-08
Arthritis, Gouty	cevimeline	3	0.991110861015696
Arthritis, Gouty	chenodeoxycholic acid	2.33333333333333	0.545431465742453
